# head of non_retracted_and_sex_qc_filtered.txt
# Genetic sex: https://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=22001 
# Self-reported Sex: https://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=31
# Those genetic sex that do not match self-reported sex were excluded from ID list
FID     IID
0       2526848
0       1479141
0       3906559
0       1849887
0       2941335
0       2008648
0       1186658
0       5144244
0       1500642
